PriId,QuizCategory,PersonalityType,TraitName,Desc
1,16Personalitties,ENTJ,Entertainer,You never fail to make people around you happy. Being fun is so natural for you.
2,16Personalitties,EOTJ,Leader,You always set high standards for yourself and people tend to look up to you.
3,16Personalitties,ENPJ,Diva,Glamorous is your middle name. You like it whenever all the eyes in the room are on you.
4,16Personalitties,EOPJ,Councillor,You abide by the rules. Playing it safe is the way.
5,16Personalitties,ENTF,Hustler,"You are the \""If there\'s a will, there\'s a way\"" type of person. Street smart."
6,16Personalitties,EOTF,Main Character,You do what you want no matter what it is. You like to meddle in a lot of things.
7,16Personalitties,ENPF,Crusader,You are an advocate of the law and a righteous person.
8,16Personalitties,EOPF,Perfectionist,You are meticulous. You get disappointed when the little things are not going your wat.
9,16Personalitties,INTJ,Architect,You like everything planned out. You would rather not improvise.
10,16Personalitties,IOTJ,Scholar,"Knowledge is power for you. You like learning new skills, hobbies and etc."
11,16Personalitties,INPJ,Maestro,You want to be the best in the things you do. You are proud of your skills and may get too competitive sometimes.
12,16Personalitties,IOPJ,Artist,You tend to appreciate everything around you. You are also very creative and will use creativity in your daily life.
13,16Personalitties,INTF,Boss,You like having authority in all situations. Losing authority might lead to losing confidence.
14,16Personalitties,IOTF,Administrator,"You like managing things. Your thinking is very mature and tend to be the \""parents\"" of the group"
15,16Personalitties,INPF,Champion,You are very competitive. Losing is never an option.
16,16Personalitties,IOPF,Arbitrator,You are very independent. You are the mediator among your peers.
17,Love,Quality Time,Quality Time,You prefer spending time with your partner regardless of the activity. Making memories with your partner is your priority.
18,Love,Act of Service,Act of Service,You show your affection by helping out your partner with their daily lives even your efforts are unnoticed. Seeing your partner living comfortably gives you satisfaction.
19,Love,Physical Touch,Physical Touch,"You like hugging, cuddling and holding hands with your partner. You want to see them every second of every day and you get irritated when you don\'t."
20,Love,Words of Affirmation,Words of Affirmation,You show your affection by texting or talking to your partner - encouraging them when they are having problems. You like to check up on your partner too.
21,Job,Outgoing,Outgoing,You prefer working with groups and mingling with your peers. Working with a team brings out the best in you.
22,Job,Asocial,Asocial,You prefer working alone. You feel focused and determined to finish the work given to you. Working with other peers drain your energy.
23,Job,Idealistic,Idealistic,You set almost-perfect goals for you/your team. You always aim for ideal results despite all odds.
24,Job,Realistic,Realistic,You set goals that are attainable for you/your team. You always aim for the best results given the current situation.
